id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,nombre,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78427,57773,2026-05-17,266000,7,No disponible,266,,Motril,,,,
78441,65218,2026-02-07,560000,4,No disponible,560,,,,,,
78455,56422,2025-10-12,1008000,8,No disponible,1008,,,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78459,56422,2025-10-18,520000,8,No disponible,520,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78460,56422,2025-01-31,776000,8,No disponible,776,,Huelva,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78465,58690,2025-12-03,152000,2,No disponible,152,,Murcia,,,,
78505,57752,2025-02-01,135000,9,No disponible,135,,Las Palmas de Gran Canaria,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
78528,62127,2026-01-05,189000,7,No disponible,189,,El Puerto de Santa María,,,,
