name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2022-05-23,18.6,10,13.6,18.6,9.1,13.6,6,61.7,0.1,100,4.17,rain,0,0,17.6,20.5,201.1,1019.2,94.3,10,75.9,6.6,4,10,2022-05-23T07:32:31,2022-05-23T17:46:18,0.76,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2022-05-24,19.1,9,13.7,19.1,9,13.7,7.5,67.5,0,0,0,,0,0,22,11.2,223.6,1018.8,90.7,9.5,117.3,10.1,6,10,2022-05-24T07:33:11,2022-05-24T17:45:50,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-25,20,6.6,13.1,20,6.6,13,7.8,71.8,0,0,0,,0,0,21.6,20.5,164.9,1018.3,31.6,8.1,152.7,13.2,6,10,2022-05-25T07:33:50,2022-05-25T17:45:23,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-26,16.3,4,9.5,16.3,4,9.2,6.7,83.6,0,0,0,,0,0,20.2,25.9,164.8,1017.9,38.9,5.7,117.6,10.2,5,10,2022-05-26T07:34:29,2022-05-26T17:44:57,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-27,13,3,7.9,13,1.7,7.6,5.6,86.5,0,0,0,,0,0,15.1,7.6,47.6,1018.5,65.9,3.9,70.3,6.1,3,10,2022-05-27T07:35:07,2022-05-27T17:44:33,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-28,12.1,6,8.9,12.1,5.2,8.4,5.6,80.8,0,0,0,,0,0,15.5,16.6,159.3,1016.4,86.5,4.2,54.3,4.6,2,10,2022-05-28T07:35:45,2022-05-28T17:44:11,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-29,15,-0.1,6.5,15,-0.1,6,1.1,73,0,0,0,,0,0,22,18.4,169.4,1017.8,8.3,5.7,150.5,13,6,10,2022-05-29T07:36:22,2022-05-29T17:43:50,0.97,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-30,16,-2,5.9,16,-4,5.6,-2.3,61.2,0,0,0,,0,0,20.5,18.4,173.1,1017.8,4.9,7.4,154.1,13.5,6,10,2022-05-30T07:36:58,2022-05-30T17:43:31,0,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-05-31,14.2,-2.6,5.1,14.2,-2.9,4.5,-3.3,59.3,0,0,0,,0,0,20.9,18.4,163.4,1016.8,2.6,7.5,150.3,13,6,10,2022-05-31T07:37:34,2022-05-31T17:43:13,0.04,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-01,12,-2,5.2,12,-2,4.7,-0.8,67.2,0.6,100,8.33,rain,0,0,20.5,16.6,169.8,1018.6,36.6,7.7,145.9,12.6,6,10,2022-06-01T07:38:09,2022-06-01T17:42:57,0.07,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-02,12,4.9,8.3,12,3.9,7.8,5.3,82,4.9,100,45.83,rain,0,0,27,9.4,330.5,1019.2,79.8,7.7,116.3,10,5,10,2022-06-02T07:38:43,2022-06-02T17:42:42,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-03,13,7,9.2,13,5.4,8.5,6.4,84,10.6,100,75,rain,0,0,24.8,27.7,30.1,1016,98.9,6.6,19.3,1.7,1,10,2022-06-03T07:39:17,2022-06-03T17:42:29,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-04,15,8,11.4,15,6,11,7.8,79.5,6.6,100,70.83,rain,0,0,28.8,18.4,179.3,1014.3,96,9.5,65.2,5.5,3,10,2022-06-04T07:39:49,2022-06-04T17:42:18,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2022-06-05,18,8.2,12.5,18,8.2,12.3,6.7,70.9,3.8,100,50,rain,0,0,23,20.5,161.5,1019.5,60.9,9.8,103.6,9,4,10,2022-06-05T07:40:21,2022-06-05T17:42:08,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-06,19,2.6,10,19,0.7,9.7,4.8,73.6,0,0,0,,0,0,18,11.2,169.4,1020.3,1,8.2,141.5,12.3,6,10,2022-06-06T07:40:52,2022-06-06T17:41:59,0.24,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-07,18,4,9.9,18,3.9,9.8,5.9,79,0,0,0,,0,0,17.3,18.4,160.4,1016.9,6.8,7.1,139.7,12.1,6,10,2022-06-07T07:41:21,2022-06-07T17:41:52,0.25,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-08,16.7,2,8.8,16.7,1.2,8.6,5.5,81.8,0,0,0,,0,0,20.5,14.8,165.8,1020.7,10.6,5.3,132.2,11.3,6,10,2022-06-08T07:41:50,2022-06-08T17:41:47,0.31,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-09,15,5,8.2,15,3.3,7.8,6.5,90.6,0,0,0,,0,0,18.4,7.6,338.6,1023.1,61.2,2.2,142.8,12.3,6,10,2022-06-09T07:42:18,2022-06-09T17:41:43,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-10,23,2,10.8,23,0.5,10.7,2.2,63.1,0,0,0,,0,0,18,7.6,77,1017.9,18.4,6.9,138.1,12,6,10,2022-06-10T07:42:45,2022-06-10T17:41:41,0.37,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2022-06-11,23,2.2,10.3,23,1.7,10,2,61.9,0,0,0,,0,0,19.1,22.3,145.4,1017.6,2.5,7.1,144.6,12.5,6,10,2022-06-11T07:43:11,2022-06-11T17:41:40,0.41,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-12,19,1,7.6,19,-2.8,6.8,4.1,83.5,0,0,0,,0,0,16.9,18.4,167.1,1017.6,52.5,2.4,144.9,12.3,6,10,2022-06-12T07:43:36,2022-06-12T17:41:40,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-13,12.7,3,6.7,12.7,3,6.1,4.7,88.6,0,0,0,,0,0,18,24.1,161.9,1015.7,63.5,2.6,123.3,10.7,5,10,2022-06-13T07:43:59,2022-06-13T17:41:42,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-14,10.4,5,7.1,10.4,3,6.3,4.3,83.1,4.8,100,62.5,rain,0,0,22.7,14.8,314.6,1019.5,72.6,4.9,127.2,11.1,5,10,2022-06-14T07:44:22,2022-06-14T17:41:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-15,14,-1,6.5,14,-1,6.1,2.8,79.3,1.4,100,50,"rain,snow",0,0,22.7,13,173.2,1019.6,13.6,5.3,138,11.8,6,10,2022-06-15T07:44:43,2022-06-15T17:41:50,0.54,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-16,14,6.7,9.4,14,6.7,9.1,5.5,78,5,100,66.67,rain,0,0,23.8,14.8,194.1,1023.3,62.9,7.7,121.3,10.5,5,10,2022-06-16T07:45:03,2022-06-16T17:41:57,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-17,15,0.9,7,15,-0.6,6.5,1.8,72.5,0,0,0,,0,0,18,7.6,204.1,1023.9,10.2,6.3,143.4,12.4,6,10,2022-06-17T07:45:22,2022-06-17T17:42:04,0.61,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-18,16,0.3,8.3,16,-0.8,7.7,0.7,61.7,0,0,0,,0,0,15.8,16.6,118.3,1018.7,60.9,6.4,123,10.5,5,10,2022-06-18T07:45:39,2022-06-18T17:42:14,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-19,15,4.2,8.7,15,2.8,8.3,1.6,62.7,0,0,0,,0,0,15.8,13,154.6,1019.3,69.7,5.8,81.7,7.2,3,10,2022-06-19T07:45:56,2022-06-19T17:42:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-20,12.2,4.8,7.5,12.2,3.9,7.1,2.7,73,0,0,0,,0,0,19.1,22.3,155.3,1015.9,86.1,5.8,98.8,8.5,4,10,2022-06-20T07:46:10,2022-06-20T17:42:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2022-06-21,11,3,7,11,1.7,6.6,3.4,79.2,0,0,0,,0,0,20.9,11.2,169,1014.7,90.9,6.1,89.9,7.7,4,10,2022-06-21T07:46:24,2022-06-21T17:42:49,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
