name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2021-05-23,20,-0.2,9,20,-0.6,8.8,1.6,66.7,0,0,0,,0,0,19.1,7.6,146.2,1019.1,26.9,8.2,154.8,13.5,6,,2021-05-23T07:32:40,2021-05-23T17:46:10,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-24,21,4,11.9,21,1.6,11.6,2.9,58.6,0,0,0,,0,0,19.1,11.2,193.8,1018.8,21,9,151.2,13.1,6,,2021-05-24T07:33:20,2021-05-24T17:45:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-25,22,3,11.5,22,0.4,11.2,2.4,58.7,0,0,0,,0,0,18.4,16.6,179.8,1019.1,7.8,8.4,151.7,13.3,6,,2021-05-25T07:33:59,2021-05-25T17:45:16,0.47,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-26,24,2.5,11.8,24,1,11.7,2,56.7,0,0,0,,0,0,19.4,5.7,1,1018.9,0.5,8.1,151.4,13.1,6,,2021-05-26T07:34:38,2021-05-26T17:44:51,0.5,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-27,21.7,2.5,11.9,21.7,2.5,11.8,3.4,60.8,0,0,0,,0,0,19.1,16.6,175.8,1016.4,28.4,8.1,153.2,13.2,6,,2021-05-27T07:35:16,2021-05-27T17:44:27,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-28,19,5.9,12.5,19,1.8,12.1,8.5,78.4,0,0,0,,0,0,17.3,74.2,147.7,1019.1,17.9,8.3,139.6,12,6,,2021-05-28T07:35:53,2021-05-28T17:44:05,0.57,Clear,Clear conditions throughout the day.,wind,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-29,15.4,6,10.3,15.4,6,10.2,8.3,88.4,0,0,0,,0,0,16.6,13,67.8,1020.4,80.6,5.8,110.1,9.5,5,,2021-05-29T07:36:30,2021-05-29T17:43:45,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-30,20,2.9,11.2,20,1.7,11,5.1,71.1,0,0,0,,0,0,18.7,18.4,181.3,1022.1,41.5,6.3,142.9,12.2,6,,2021-05-30T07:37:06,2021-05-30T17:43:26,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-05-31,23,8.6,14.7,23,7.9,14.5,4.5,53.6,0,0,0,,0,0,19.8,14.8,169,1022.8,57,9,113.3,9.8,4,,2021-05-31T07:37:42,2021-05-31T17:43:09,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-01,19,12,14.8,19,12,14.8,6.9,59.8,0.1,100,4.17,rain,0,0,22,18.9,157.6,1020.1,91.4,8.9,58.4,4.9,3,,2021-06-01T07:38:17,2021-06-01T17:42:53,0.71,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-02,23,8.7,15.4,23,8.7,15.3,8.9,68.1,0,0,0,,0,0,23,18.4,166.5,1016.9,30.9,8.4,141.8,12.1,6,,2021-06-02T07:38:51,2021-06-02T17:42:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-03,24,8,14.4,24,6.8,14.2,8,68.7,0,0,0,,0,0,18.4,18.4,162,1014.9,35.7,8.7,138,11.9,5,,2021-06-03T07:39:24,2021-06-03T17:42:26,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-04,16.3,8.9,12.7,16.3,8.9,12.7,9.6,81.6,0,0,0,,0,0,19.4,22.3,169.7,1015.7,73.3,8.6,96.4,8.3,4,,2021-06-04T07:39:56,2021-06-04T17:42:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-05,19,11.4,14.2,19,11.4,14.2,9.4,73.9,0,0,0,,0,0,21.2,13,165.2,1017.6,73.4,8.2,126,10.9,6,,2021-06-05T07:40:28,2021-06-05T17:42:05,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-06,17.3,9,12.2,17.3,7.9,12.1,7.3,72.9,0,0,0,,0,0,20.5,20.5,171.4,1016.9,84.3,9.3,101.4,8.7,5,,2021-06-06T07:40:58,2021-06-06T17:41:57,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-07,21,8.6,13.2,21,7.2,12.8,5.3,62.2,0.2,100,8.33,rain,0,0,17.6,16.6,143.6,1018,48.3,9.2,132.5,11.5,6,,2021-06-07T07:41:28,2021-06-07T17:41:50,0.91,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2021-06-08,21,3.5,11.2,21,3.5,11.1,2.9,60.7,0,0,0,,0,0,18.7,11.2,150.8,1017.4,10,8.4,145.9,12.6,6,,2021-06-08T07:41:56,2021-06-08T17:41:45,0.94,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
