name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2020-05-23,23,1,10.9,23,-2.8,10.5,0.7,56.2,0,0,0,,0,0,20.9,20.5,107.6,1019.4,14.8,8.6,155.1,13.4,6,,2020-05-23T07:32:49,2020-05-23T17:46:03,0.03,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-24,26,3,13.4,26,1.7,13.1,0.9,48.6,0,0,0,,0,0,24.1,13,175.4,1018.8,2.5,9.1,156.9,13.5,6,,2020-05-24T07:33:29,2020-05-24T17:45:35,0.07,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-25,29,6,15.7,27.4,5.1,15.3,2.5,46.6,0,0,0,,0,0,18.7,9.4,135.6,1014.2,0,9.7,154.6,13.4,6,,2020-05-25T07:34:08,2020-05-25T17:45:09,0.1,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-26,22,7.3,13.5,22,7.3,13.4,6.1,63.3,0,0,0,,0,0,22.3,25.9,153.5,1012.9,0,8.3,155.2,13.3,6,,2020-05-26T07:34:46,2020-05-26T17:44:45,0.14,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-27,13.1,9,10.9,13.1,7.9,10.6,9.9,93.8,0,0,0,,0,0,21.6,11.2,221.9,1015.3,95.7,3,144.8,12.6,6,,2020-05-27T07:35:24,2020-05-27T17:44:21,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-28,15,9.7,12.2,15,9.7,12.2,9,81.1,0,0,0,,0,0,24.5,11.2,178,1017.5,84.5,5.7,85.1,7.2,4,,2020-05-28T07:36:02,2020-05-28T17:44:00,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-29,15,9,11.7,15,8.5,11.6,8.1,79,1.6,100,37.5,rain,0,0,22,14.8,171.9,1018.9,82,5.6,69.5,5.9,3,,2020-05-29T07:36:38,2020-05-29T17:43:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-30,18,6.5,12,18,5.6,11.6,7.1,73.4,2.2,100,37.5,rain,0,0,23.8,14.8,171.4,1018.4,55.8,7.5,117.2,10.2,5,,2020-05-30T07:37:14,2020-05-30T17:43:21,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-05-31,20,8,13.3,20,6.8,13.2,8,72,2.7,100,25,rain,0,0,20.9,16.6,168.5,1019.4,33.7,6.9,125.2,10.9,5,,2020-05-31T07:37:50,2020-05-31T17:43:04,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2020-06-01,20,7,12.9,20,7,12.8,7.4,71.2,0,0,0,,0,0,22.3,16.6,188.9,1022.3,39.2,8.4,130.5,11.1,5,,2020-06-01T07:38:24,2020-06-01T17:42:49,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
