name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-33.3537,-70.6811",2024-05-23,13,5.5,8,13,3.2,7,5.1,83.6,18.9,100,37.5,rain,0,0.1,20.9,18.6,333.5,1024.4,58.3,9.1,141.2,12.1,6,10,2024-05-23T07:32:53,2024-05-23T17:46:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-24,13.1,3,7.8,13.1,1.1,7,5.3,85.4,0,0,0,,0,0.3,21.2,13.6,355.7,1020.1,84.7,8.5,66.4,5.7,3,10,2024-05-24T07:33:33,2024-05-24T17:45:37,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-25,15,7.4,10.5,15,5.7,9.6,6.9,80.2,0.6,100,8.33,rain,0,0.2,21.2,23.9,186,1017.4,88.3,8.2,127,11,5,10,2024-05-25T07:34:12,2024-05-25T17:45:11,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-26,15,7,9.9,15,5.2,9,7.1,83.9,10,100,66.67,rain,0,0.2,27.4,16.2,205.2,1020.3,55.9,7.9,122.5,10.5,5,10,2024-05-26T07:34:51,2024-05-26T17:44:46,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-27,15.1,2,8.6,15.1,0.8,8.2,5.4,82.2,0,0,0,,0,0.2,19.1,16.7,12.6,1021,54.3,7.6,97.2,8.5,4,10,2024-05-27T07:35:29,2024-05-27T17:44:23,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-28,19.3,3,10.3,19.3,3,9.9,5.4,75.4,0,0,0,,0,0.2,21.2,21.1,141.9,1019.4,56.3,7.2,113.7,9.8,5,10,2024-05-28T07:36:06,2024-05-28T17:44:01,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-29,19,8,11.6,19,6.3,11.3,6.5,73.4,0,0,0,,0,0.2,16.2,19.7,168.9,1020.9,63.6,7.8,116.1,10,5,10,2024-05-29T07:36:43,2024-05-29T17:43:41,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-30,21.5,5.9,12.5,21.5,2.2,12,6.1,68.8,0,0,0,,0,0,16.9,24.9,78.3,1018.6,30.8,6.6,128.3,11.2,5,10,2024-05-30T07:37:19,2024-05-30T17:43:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-05-31,16.4,5,9.9,16.4,2.2,9.4,5.6,75.9,0,0,0,,0,0.2,19.1,33.8,141.6,1017.5,33,7.6,86.5,7.5,4,10,2024-05-31T07:37:54,2024-05-31T17:43:06,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-01,18.5,2.4,10.4,18.5,2.4,10,5.9,76.6,0,0,0,,0,0.3,19.1,20,169.8,1019.2,17.3,7.3,144.6,12.3,6,10,2024-06-01T07:38:28,2024-06-01T17:42:51,0.83,Clear,Clear conditions throughout the day.,clear-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-02,18,9.6,12.7,18,8.2,12.5,7.6,72.4,0,0,0,,0,0.1,24.1,13.6,13.4,1015.7,66.6,7.6,81.6,7.1,4,10,2024-06-02T07:39:02,2024-06-02T17:42:37,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-03,16.3,10,12.6,16.3,9.6,12.6,8.1,74.4,0,0,0,,0,0,24.1,18.2,175.1,1015.4,81.8,7.2,58.6,5.2,3,10,2024-06-03T07:39:35,2024-06-03T17:42:24,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-04,15,7.6,11.3,15,5.4,11,8.2,82.1,0.5,100,8.33,rain,0,0,38.9,14.7,276.6,1015.9,84.2,5.6,58.1,5,3,10,2024-06-04T07:40:07,2024-06-04T17:42:14,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-05,16.1,9,12.1,16.1,8.5,12,7.1,73.1,0,0,0,,0,0,21.6,14.8,278.8,1017.1,93.1,7.1,52.7,4.4,2,10,2024-06-05T07:40:38,2024-06-05T17:42:04,0.97,Overcast,Cloudy skies throughout the day.,cloudy,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-06,15.1,7,11.3,15.1,5.6,10.9,6.4,72.6,0,0,0,,0,0,17.6,12.8,6.9,1019.7,73.2,7.1,68.7,6,3,10,2024-06-06T07:41:09,2024-06-06T17:41:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-07,20.5,6,12.4,20.5,6,12.3,6.2,69.8,0,0,0,,0,0,16.9,16.7,355.5,1015.6,60.6,7,122.1,10.5,5,10,2024-06-07T07:41:38,2024-06-07T17:41:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-08,17,8.5,12,17,7.4,11.8,7.6,75.2,1.5,100,4.17,rain,0,0,38.9,38.6,184.9,1014.1,66.6,9,92.3,7.9,5,10,2024-06-08T07:42:07,2024-06-08T17:41:46,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-09,12,7.6,9.5,12,4.8,8.5,6.7,82.8,17.1,100,70.83,rain,0,0.1,45,18.4,30.3,1019.6,97,9.3,52.7,4.4,2,10,2024-06-09T07:42:34,2024-06-09T17:41:43,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-10,15,7.7,10.4,15,6.9,10.2,8.1,86.2,0.1,100,4.17,rain,0,0.2,19.1,12.9,324.8,1017.3,91.5,9.1,40.7,3.4,2,10,2024-06-10T07:43:00,2024-06-10T17:41:41,0.13,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-11,13,8.8,10.5,13,6.5,10,8.3,87.1,0.3,100,4.17,rain,0,0.2,19.4,14.6,306.2,1015.6,92.8,8.3,62.6,5.3,3,10,2024-06-11T07:43:25,2024-06-11T17:41:41,0.17,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-12,13,7.7,10.1,13,6.9,9.8,7.7,85.8,1.1,100,25,rain,0,0.1,38.9,13,102.5,1010.9,92.1,8.4,33.7,3,2,10,2024-06-12T07:43:50,2024-06-12T17:41:42,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-13,13,8,10,13,6.7,9.4,8.8,92,69.7,100,95.83,rain,0,0.1,64.8,18.3,38.7,1011.8,99,6.5,8,0.6,0,10,2024-06-13T07:44:13,2024-06-13T17:41:45,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-14,15,6.6,10.3,15,5.3,9.6,6.8,81.1,17.4,100,79.17,rain,0,0.1,38.2,20.5,45.9,1019.7,72.6,9.3,80.5,7.1,5,10,2024-06-14T07:44:34,2024-06-14T17:41:49,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-15,15.1,3.9,8.7,15.1,2.6,8.5,5.3,81.4,0,0,0,,0,0.3,16.6,16.6,160.9,1021.5,51.9,8.3,98.9,8.4,4,10,2024-06-15T07:44:55,2024-06-15T17:41:55,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-16,16.1,2.9,8.4,16.1,0.9,8.1,5.4,83.6,0,0,0,,0,0.3,15.5,10.8,142.1,1020.6,25.2,7.1,123.5,10.6,5,10,2024-06-16T07:45:14,2024-06-16T17:42:02,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-17,11.2,3.1,7.6,11.2,1,6.7,6.1,90.9,2.4,100,25,rain,0,0.3,36.7,14.8,97.1,1018.6,59.8,5.6,73.9,6.3,4,10,2024-06-17T07:45:33,2024-06-17T17:42:10,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-18,13.2,8.7,10.1,13.2,6.5,9.2,7.9,87,26.7,100,100,rain,0,0.2,48.2,26.6,32.6,1015.5,95,9.3,25.8,2.1,1,10,2024-06-18T07:45:49,2024-06-18T17:42:20,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2024-06-19,16.1,7.8,10.7,16.1,6.1,10.3,7.6,82.7,3.3,100,37.5,rain,0,0.2,36,14.7,189.4,1018.8,61.7,9.8,112.7,9.8,5,10,2024-06-19T07:46:05,2024-06-19T17:42:31,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-20,11.8,6.4,8.9,11.8,5.3,8.3,7.3,90.2,1.7,100,25,rain,0,0.3,23,22.3,154.2,1015.4,84.5,8.8,47.4,3.9,2,10,2024-06-20T07:46:19,2024-06-20T17:42:44,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-21,9.8,6,7.6,8.6,3,5.5,6.7,94,66.9,100,91.67,rain,0,0.2,39.2,33,151.4,1016.8,99.6,7.2,5.2,0.6,0,10,2024-06-21T07:46:32,2024-06-21T17:42:57,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-22,9,6.5,7.7,8.3,3.3,5.8,6.1,89.9,32.5,100,100,rain,0,0.2,30.2,22.3,101.2,1020.1,94.5,8.8,15.2,1.4,1,10,2024-06-22T07:46:44,2024-06-22T17:43:12,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SCEL,85577099999,remote,85574099999"
"-33.3537,-70.6811",2024-06-23,10.6,5,7.4,10.6,3.9,6.3,5.2,86.8,1.6,100,29.17,rain,0,0.2,22.3,16.6,201.6,1020.8,89.5,8.8,99.9,8.6,5,10,2024-06-23T07:46:54,2024-06-23T17:43:29,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SCEL,85577099999,85574099999"
"-33.3537,-70.6811",2024-06-24,9.9,5.9,7.5,8.3,2.6,5.3,4.2,80,1.8,100,50,rain,0,0.3,13.3,19.7,181.1,1021,89.5,10,25.2,2.2,1,10,2024-06-24T07:47:02,2024-06-24T17:43:46,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SCEL,85577099999,85574099999"
